Year,Month,Exports,Imports,Trade balance
1975,October,"2,124,678,652","797,795,807","1,326,882,845"
1975,November,"2,208,209,921","768,761,420","1,439,448,501"
1975,December,"1,995,899,228","736,328,745","1,259,570,483"
1976,January,"2,026,970,717","780,163,801","1,246,806,916"
1976,February,"1,769,280,550","737,396,244","1,031,884,306"
1976,March,"1,915,413,663","916,800,843","998,612,820"
1976,April,"1,977,571,405","851,196,018","1,126,375,387"
1976,May,"1,893,623,469","816,129,325","1,077,494,144"
1976,June,"1,867,928,479","972,383,477","895,545,002"
1976,July,"1,835,916,557","914,630,869","921,285,688"
1976,August,"1,801,451,538","900,417,465","901,034,073"
1976,September,"1,842,358,509","859,575,297","982,783,212"
1976,October,"2,305,410,074","771,250,238","1,534,159,836"
1976,November,"2,159,972,213","932,593,800","1,227,378,413"
1976,December,"2,135,338,664","1,045,570,877","1,089,767,787"
1977,January,"1,942,816,835","1,085,930,818","856,886,017"
1977,February,"2,085,250,385","1,083,713,299","1,001,537,086"
1977,March,"2,350,566,603","1,235,705,408","1,114,861,195"
1977,April,"2,251,724,469","1,347,808,037","903,916,432"
1977,May,"2,254,080,626","1,217,969,856","1,036,110,770"
1977,June,"1,937,476,179","1,183,888,586","753,587,593"
1977,July,"1,806,050,951","956,352,211","849,698,740"
1977,August,"1,599,478,624","967,135,775","632,342,849"
1977,September,"1,804,965,896","955,283,661","849,682,235"
1977,October,"1,741,180,473","796,794,001","944,386,472"
1977,November,"2,123,762,121","786,213,818","1,337,548,303"
1977,December,"2,398,640,779","1,221,501,183","1,177,139,596"
1978,January,"1,970,206,890","1,209,138,324","761,068,566"
1978,February,"2,138,253,634","1,184,423,114","953,830,520"
1978,March,"2,600,401,990","1,336,797,126","1,263,604,864"
1978,April,"2,576,782,773","1,241,222,019","1,335,560,754"
1978,May,"2,805,292,516","1,215,305,697","1,589,986,819"
1978,June,"2,731,743,722","1,106,259,819","1,625,483,903"
1978,July,"2,200,514,788","1,148,590,044","1,051,924,744"
1978,August,"2,481,962,357","972,700,436","1,509,261,921"
1978,September,"2,359,750,240","1,046,738,643","1,313,011,597"
1978,October,"2,739,428,146","1,180,009,567","1,559,418,579"
1978,November,"2,887,002,446","1,241,456,726","1,645,545,720"
1978,December,"2,812,707,996","1,292,716,009","1,519,991,987"
1979,January,"2,491,831,462","1,397,198,903","1,094,632,559"
1979,February,"2,429,087,545","1,166,701,954","1,262,385,591"
1979,March,"2,989,381,968","1,310,989,646","1,678,392,322"
1979,April,"2,753,526,097","1,384,963,919","1,368,562,178"
1979,May,"2,614,172,367","1,317,830,269","1,296,342,098"
1979,June,"2,881,565,303","1,415,953,097","1,465,612,206"
1979,July,"2,816,861,969","1,215,235,897","1,601,626,072"
1979,August,"2,849,009,950","1,240,094,102","1,608,915,848"
1979,September,"2,816,767,592","1,189,649,423","1,627,118,169"
1979,October,"3,608,514,476","1,217,060,410","2,391,454,066"
1979,November,"3,886,033,144","1,474,818,169","2,411,214,975"
1979,December,"3,784,308,804","1,556,231,539","2,228,077,265"
1980,January,"3,364,483,282","1,572,377,043","1,792,106,239"
1980,February,"3,438,156,698","1,284,743,001","2,153,413,697"
1980,March,"3,850,938,732","1,429,905,703","2,421,033,029"
1980,April,"3,586,357,918","1,384,318,582","2,202,039,336"
1980,May,"3,297,776,758","1,363,266,723","1,934,510,035"
1980,June,"3,129,471,296","1,408,943,132","1,720,528,164"
1980,July,"3,105,333,826","1,372,584,149","1,732,749,677"
1980,August,"3,338,210,738","1,282,544,338","2,055,666,400"
1980,September,"3,348,569,405","1,166,176,525","2,182,392,880"
1980,October,"3,791,127,471","1,388,910,976","2,402,216,495"
1980,November,"3,895,268,392","1,481,845,501","2,413,422,891"
1980,December,"4,383,929,669","1,488,470,064","2,895,459,605"
1981,January,"4,174,192,748","1,523,885,059","2,650,307,689"
1981,February,"3,948,354,526","1,540,236,273","2,408,118,253"
1981,March,"4,808,869,980","1,425,264,816","3,383,605,164"
1981,April,"3,864,274,546","1,323,183,703","2,541,090,843"
1981,May,"3,684,946,990","1,466,387,106","2,218,559,884"
1981,June,"3,304,737,470","1,255,393,179","2,049,344,291"
1981,July,"2,953,177,160","1,148,303,429","1,804,873,731"
1981,August,"3,036,372,602","1,266,221,089","1,770,151,513"
1981,September,"3,325,637,634","1,212,063,802","2,113,573,832"
1981,October,"4,047,995,905","1,388,265,281","2,659,730,624"
1981,November,"3,910,507,155","1,177,440,735","2,733,066,420"
1981,December,"3,679,266,939","1,342,828,041","2,336,438,898"
1982,January,"3,367,755,301","1,182,025,047","2,185,730,254"
1982,February,"3,641,614,120","1,019,402,882","2,622,211,238"
1982,March,"3,835,034,053","1,285,134,857","2,549,899,196"
1982,April,"3,589,557,543","1,146,613,942","2,442,943,601"
1982,May,"3,521,069,318","1,285,679,956","2,235,389,362"
1982,June,"3,249,186,491","1,314,479,847","1,934,706,644"
1982,July,"2,538,752,470","1,115,174,317","1,423,578,153"
1982,August,"2,606,681,975","1,318,319,701","1,288,362,274"
1982,September,"2,505,502,242","1,270,844,314","1,234,657,928"
1982,October,"3,014,545,217","1,434,538,921","1,580,006,296"
1982,November,"3,169,093,597","1,209,498,444","1,959,595,153"
1982,December,"2,994,700,660","1,191,958,150","1,802,742,510"
1983,January,"3,220,348,626","1,449,393,026","1,770,955,600"
1983,February,"3,133,770,555","1,238,989,411","1,894,781,144"
1983,March,"3,274,950,957","1,339,846,663","1,935,104,294"
1983,April,"3,079,097,354","1,422,990,238","1,656,107,116"
1983,May,"2,779,738,062","1,442,901,072","1,336,836,990"
1983,June,"2,923,900,550","1,203,225,377","1,720,675,173"
1983,July,"2,700,018,264","1,251,619,717","1,448,398,547"
1983,August,"2,712,069,119","1,364,171,554","1,347,897,565"
1983,September,"3,085,494,173","1,276,591,492","1,808,902,681"
1983,October,"3,277,947,477","1,455,120,079","1,822,827,398"
1983,November,"3,587,414,367","1,320,087,080","2,267,327,287"
1983,December,"3,607,975,938","1,295,712,082","2,312,263,856"
1984,January,"3,628,736,040","1,608,816,020","2,019,920,020"
1984,February,"3,474,822,698","1,530,514,895","1,944,307,803"
1984,March,"3,931,022,285","1,657,664,365","2,273,357,920"
1984,April,"3,293,277,698","1,726,084,278","1,567,193,420"
1984,May,"3,278,955,563","1,573,743,331","1,705,212,232"
1984,June,"2,679,760,902","1,219,562,183","1,460,198,719"
1984,July,"2,804,323,067","1,742,883,980","1,061,439,087"
1984,August,"2,671,655,885","1,504,601,938","1,167,053,947"
1984,September,"3,036,543,198","1,520,240,963","1,516,302,235"
1984,October,"2,990,452,874","1,628,646,373","1,361,806,501"
1984,November,"3,653,523,506","1,490,235,779","2,163,287,727"
1984,December,"3,639,304,136","1,402,204,099","2,237,100,037"
1985,January,"3,264,148,963","1,731,356,531","1,532,792,432"
1985,February,"3,040,769,528","1,672,103,192","1,368,666,336"
1985,March,"2,844,397,833","1,879,490,830","964,907,003"
1985,April,"2,722,135,225","1,618,112,362","1,104,022,863"
1985,May,"2,195,940,769","1,617,125,928","578,814,841"
1985,June,"2,103,904,490","1,649,306,070","454,598,420"
1985,July,"1,899,398,016","1,408,656,457","490,741,559"
1985,August,"2,144,154,757","1,462,894,533","681,260,224"
1985,September,"2,010,833,656","1,634,611,326","376,222,330"
1985,October,"2,448,603,639","1,382,889,689","1,065,713,950"
1985,November,"2,917,892,639","1,600,215,173","1,317,677,466"
1985,December,"2,765,673,023","1,806,116,473","959,556,550"
1986,January,"2,633,553,118","1,960,043,041","673,510,077"
1986,February,"2,593,835,847","1,705,026,689","888,809,158"
1986,March,"2,527,698,306","1,831,519,715","696,178,591"
1986,April,"2,238,683,922","1,732,471,650","506,212,272"
1986,May,"1,981,704,263","1,992,031,631","-10,327,368"
1986,June,"1,814,209,804","1,574,875,338","239,334,466"
1986,July,"1,841,574,009","1,757,586,190","83,987,819"
1986,August,"2,012,736,359","1,613,404,020","399,332,339"
1986,September,"2,047,994,113","1,591,990,571","456,003,542"
1986,October,"2,572,518,826","1,635,413,050","937,105,776"
1986,November,"2,667,066,557","1,907,272,085","759,794,472"
1986,December,"2,872,604,933","1,895,397,579","977,207,354"
1987,January,"2,288,817,978","1,426,086,978","862,731,000"
1987,February,"2,372,288,228","1,690,457,219","681,831,009"
1987,March,"2,589,801,801","1,866,895,729","722,906,072"
1987,April,"2,445,978,097","1,759,766,339","686,211,758"
1987,May,"2,372,476,840","1,664,382,264","708,094,576"
1987,June,"2,286,152,867","1,741,255,786","544,897,081"
1987,July,"2,603,826,394","1,669,708,459","934,117,935"
1987,August,"2,358,809,284","1,512,666,212","846,143,072"
1987,September,"2,552,185,626","1,560,427,962","991,757,664"
1987,October,"2,917,220,724","1,809,538,018","1,107,682,706"
1987,November,"3,058,464,566","1,666,248,644","1,392,215,922"
1987,December,"3,208,156,561","1,657,629,169","1,550,527,392"
1988,January,"3,087,619,391","1,737,110,766","1,350,508,625"
1988,February,"3,386,723,454","1,868,676,779","1,518,046,675"
1988,March,"3,591,472,457","1,876,136,205","1,715,336,252"
1988,April,"3,294,901,728","1,667,667,452","1,627,234,276"
1988,May,"3,241,078,247","1,621,416,625","1,619,661,622"
1988,June,"2,957,332,415","1,562,757,841","1,394,574,574"
1988,July,"2,908,529,471","1,566,430,022","1,342,099,449"
1988,August,"3,131,957,086","1,782,003,126","1,349,953,960"
1988,September,"3,417,624,523","1,601,868,764","1,815,755,759"
1988,October,"3,563,637,130","1,685,720,505","1,877,916,625"
1988,November,"3,619,411,365","1,697,600,076","1,921,811,289"
1988,December,"3,897,392,368","1,618,840,706","2,278,551,662"
1989,January,"3,572,759,963","1,944,181,618","1,628,578,345"
1989,February,"3,784,013,003","1,938,393,142","1,845,619,861"
1989,March,"4,346,041,608","1,988,083,487","2,357,958,121"
1989,April,"3,660,747,105","1,858,001,700","1,802,745,405"
1989,May,"3,629,417,029","1,985,540,520","1,643,876,509"
1989,June,"3,374,098,550","1,783,165,431","1,590,933,119"
1989,July,"3,281,629,119","1,742,594,171","1,539,034,948"
1989,August,"3,146,023,395","1,915,913,192","1,230,110,203"
1989,September,"3,375,485,100","1,655,370,211","1,720,114,889"
1989,October,"3,762,970,798","2,022,052,618","1,740,918,180"
1989,November,"4,024,916,314","1,992,064,892","2,032,851,422"
1989,December,"4,036,954,385","1,822,541,845","2,214,412,540"
1990,January,"4,114,918,342","2,108,224,774","2,006,693,568"
1990,February,"3,865,691,064","2,083,358,956","1,782,332,108"
1990,March,"4,511,114,374","2,228,134,927","2,282,979,447"
1990,April,"3,827,214,731","1,991,855,307","1,835,359,424"
1990,May,"3,752,386,987","2,092,787,363","1,659,599,624"
1990,June,"3,650,225,891","1,918,881,431","1,731,344,460"
1990,July,"3,186,632,583","1,897,064,628","1,289,567,955"
1990,August,"3,431,641,552","1,831,087,366","1,600,554,186"
1990,September,"3,182,910,791","1,822,788,385","1,360,122,406"
1990,October,"3,734,003,818","2,138,530,736","1,595,473,082"
1990,November,"4,056,597,894","2,028,333,332","2,028,264,562"
1990,December,"3,746,247,491","1,906,965,193","1,839,282,298"
1991,January,"3,872,272,889","2,001,590,751","1,870,682,138"
